Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/27/ 21:09:26,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-3,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:26,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-3,-24,0,37,0,134,88,100,1
2022/09/27/ 21:09:27,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-3,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:27,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-3,-24,0,37,0,134,88,100,1
2022/09/27/ 21:09:28,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-3,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:28,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-3,-24,0,39,0,134,88,100,1
2022/09/27/ 21:09:28,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-3,-24,0,37,0,134,88,100,1
2022/09/27/ 21:09:29,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-3,-24,0,39,0,134,88,100,1
2022/09/27/ 21:09:29,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-3,-24,0,37,0,134,88,100,1
2022/09/27/ 21:09:30,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-4,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:31,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-4,-23,0,38,0,134,88,100,1
2022/09/27/ 21:09:31,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-3,-23,0,39,0,134,88,100,1
2022/09/27/ 21:09:32,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-3,-23,0,38,0,134,88,100,1
2022/09/27/ 21:09:32,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-3,-23,0,39,0,134,88,100,1
2022/09/27/ 21:09:33,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-3,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:33,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-3,-23,0,38,0,134,88,100,1
2022/09/27/ 21:09:34,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-3,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:34,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-3,-23,0,38,0,134,88,100,1
2022/09/27/ 21:09:35,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-8,-24,0,37,0,134,88,100,1
2022/09/27/ 21:09:35,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-7,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:36,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-72,-8,-24,0,37,0,134,88,100,1
2022/09/27/ 21:09:36,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-8,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:37,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,-7,-24,0,39,0,134,88,100,1
2022/09/27/ 21:09:37,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-7,-25,0,37,0,134,88,100,1
2022/09/27/ 21:09:38,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-7,-24,0,39,0,134,88,100,1
2022/09/27/ 21:09:38,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-72,-7,-25,0,37,0,134,88,100,1
2022/09/27/ 21:09:39,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-7,-25,0,38,0,134,88,100,1
2022/09/27/ 21:09:40,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-8,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:40,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-8,-24,0,37,0,134,88,100,1
2022/09/27/ 21:09:40,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-8,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:41,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-8,-24,0,39,0,134,88,100,1
2022/09/27/ 21:09:41,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-72,-8,-24,0,37,0,134,88,100,1
2022/09/27/ 21:09:42,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,-8,-24,0,39,0,134,88,100,1
2022/09/27/ 21:09:42,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-8,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:43,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,-8,-24,0,39,0,134,88,100,1
2022/09/27/ 21:09:44,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-7,-25,0,38,0,134,88,100,1
2022/09/27/ 21:09:44,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,-7,-24,0,39,0,134,88,100,1
2022/09/27/ 21:09:45,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-7,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:45,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-7,-24,0,37,0,134,88,100,1
2022/09/27/ 21:09:45,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-7,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:46,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,-7,-24,0,39,0,134,88,100,1
2022/09/27/ 21:09:46,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-7,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:47,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,-7,-24,0,39,0,134,88,100,1
2022/09/27/ 21:09:47,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-7,-24,0,37,0,134,88,100,1
2022/09/27/ 21:09:48,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,-6,-24,0,39,0,134,88,100,1
2022/09/27/ 21:09:49,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-6,-25,0,37,0,134,88,100,1
2022/09/27/ 21:09:49,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-6,-25,0,38,0,134,88,100,1
2022/09/27/ 21:09:49,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-6,-25,0,38,0,134,88,100,1
