Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/28/ 01:53:35,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-28,-21,0,37,1,134,114,100,0
2022/09/28/ 01:53:36,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-22,0,37,1,134,114,100,0
2022/09/28/ 01:53:37,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-61,-27,-22,0,37,1,134,114,100,0
2022/09/28/ 01:53:37,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-27,-22,0,38,1,134,114,100,0
2022/09/28/ 01:53:38,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-22,0,39,1,134,114,100,0
2022/09/28/ 01:53:38,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-22,0,37,1,134,114,100,0
2022/09/28/ 01:53:38,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-61,-27,-21,0,37,1,134,114,100,0
2022/09/28/ 01:53:39,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-27,-21,0,38,1,134,114,100,0
2022/09/28/ 01:53:39,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-21,0,39,1,134,114,100,0
2022/09/28/ 01:53:40,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-21,0,37,1,134,114,100,0
2022/09/28/ 01:53:41,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-21,0,39,1,134,114,100,0
2022/09/28/ 01:53:41,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-21,0,37,1,134,114,100,0
2022/09/28/ 01:53:42,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-21,0,39,1,134,114,100,0
2022/09/28/ 01:53:42,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-27,-21,0,37,1,134,114,100,0
2022/09/28/ 01:53:42,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-21,0,39,1,134,114,100,0
2022/09/28/ 01:53:43,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-20,0,37,1,134,114,100,0
2022/09/28/ 01:53:43,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-27,-20,0,38,1,134,114,100,0
2022/09/28/ 01:53:44,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-28,-21,0,39,1,134,114,100,0
2022/09/28/ 01:53:44,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-28,-21,0,37,1,134,114,100,0
2022/09/28/ 01:53:45,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-28,-21,0,38,1,134,114,100,0
2022/09/28/ 01:53:45,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-28,-21,0,39,1,134,114,100,0
2022/09/28/ 01:53:46,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-28,-21,0,39,1,134,114,100,0
2022/09/28/ 01:53:46,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-28,-21,0,37,1,134,114,100,0
2022/09/28/ 01:53:47,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-28,-21,0,38,1,134,114,100,0
2022/09/28/ 01:53:47,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-28,-21,0,39,1,134,114,100,0
2022/09/28/ 01:53:48,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-20,0,37,1,134,114,100,0
2022/09/28/ 01:53:48,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-27,-20,0,38,1,134,114,100,0
2022/09/28/ 01:53:49,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-20,0,39,1,134,114,100,0
2022/09/28/ 01:53:49,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-20,0,39,1,134,114,100,0
