Hora,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/17/ 16:10:06,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:06,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-8,-17,0,38,1,134,30,130,0
2022/09/17/ 16:10:07,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:07,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:08,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:08,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-17,0,38,1,134,30,130,0
2022/09/17/ 16:10:09,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-6,-17,0,38,1,134,30,130,0
2022/09/17/ 16:10:09,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:10,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:10,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-17,0,38,1,134,30,130,0
2022/09/17/ 16:10:11,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:11,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:12,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-17,0,38,1,134,30,130,0
2022/09/17/ 16:10:12,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:13,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-17,0,38,1,134,30,130,0
2022/09/17/ 16:10:13,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-17,0,38,1,134,30,130,0
2022/09/17/ 16:10:14,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:14,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:15,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-17,0,38,1,134,30,130,0
2022/09/17/ 16:10:15,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-17,0,38,1,134,30,130,0
2022/09/17/ 16:10:16,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-17,0,38,1,134,30,130,0
2022/09/17/ 16:10:16,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-17,0,38,1,134,30,130,0
2022/09/17/ 16:10:17,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-8,-17,0,38,1,134,30,130,0
2022/09/17/ 16:10:17,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:18,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:18,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-8,-18,0,37,1,134,30,130,0
