Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/27/ 21:52:14,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-29,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:15,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-61,-29,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:15,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-29,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:16,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-29,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:16,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-29,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:17,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-30,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:18,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-30,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:18,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-30,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:18,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-29,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:19,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-61,-30,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:19,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-30,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:20,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-30,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:20,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-30,-23,0,37,1,134,105,100,0
2022/09/27/ 21:52:21,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-29,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:21,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:22,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:22,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-31,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:23,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-31,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:23,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-31,-22,0,37,1,134,105,100,0
